subject	mean	weighted	fractional
D1	0.702795	0.717828	0.760087
D1	0.702690	0.718445	0.759782
D9	0.701546	0.712338	0.768556
D9	0.704213	0.716154	0.770515
D10	0.701066	0.721484	0.763362
D10	0.688050	0.701224	0.754633
D4	0.705108	0.719573	0.765795
D4	0.707802	0.719534	0.767836
D5	0.700478	0.719921	0.762255
D5	0.704223	0.724512	0.767232
D2	0.694545	0.716377	0.754181
D2	0.695870	0.714933	0.757127
D6	0.706454	0.716504	0.767730
D6	0.710163	0.722933	0.769765
D8	0.695981	0.706722	0.763398
D8	0.697138	0.712740	0.765377
D3	0.700260	0.712989	0.760278
D3	0.685263	0.702301	0.753991
D7	0.706698	0.724824	0.764337
D7	0.702341	0.715106	0.762827
