subject	coverage	count	size
D1	128157155	73269	1749.13
D1	126286743	72731	1736.35
D9	113902703	62414	1824.95
D9	113531939	61698	1840.12
D10	122419723	69516	1761.03
D10	120741910	67599	1786.15
D4	123332096	69474	1775.23
D4	122831924	68460	1794.21
D5	122036145	66759	1828.01
D5	120812404	65520	1843.90
D2	126521898	72318	1749.52
D2	123936495	70313	1762.64
D6	116027533	67337	1723.09
D6	115282885	66053	1745.31
D8	117095442	65902	1776.81
D8	116709498	65179	1790.60
D3	129731629	70183	1848.48
D3	125965891	68597	1836.32
D7	126845143	69983	1812.51
D7	124672049	68922	1808.89
